CUSTNAME,GenderCode,CITY,CREDITCARD_TYPE,CUST_ID,ORDER_ID,ORDER_DATE,ORDER_TIME,AGE,T_TYPE,PURCHASE_TOUCHPOINT,PURCHASE_STATUS,GENERATION,portfolio_1,portfolio_2,portfolio_3,portfolio_4,portfolio_5,portfolio_6,portfolio_7,portfolio_8,portfolio_9,portfolio_10,portfolio_11,portfolio_12,portfolio_13,portfolio_14,portfolio_15,portfolio_16,portfolio_17,portfolio_18,portfolio_19,portfolio_20,portfolio_21,portfolio_22,portfolio_23,portfolio_24,portfolio_25,portfolio_26,portfolio_27,portfolio_28,portfolio_29
Thomas Owens        ,Mr.,Adami,VISA,10015,8633,2016-08-31 00:00:00.000,2016.8.31 19:17,60,Cancelled,Phone,Occasional,Baby_Boomers,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Anthony Carr        ,Mr.,Agallas,Discover,10019,792,2016-01-03 00:00:00.000,2016.1.3 15:47,53,Complete,Phone,Occasional,Baby_Boomers,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anthony Carr        ,Mr.,Agallas,Discover,10019,1257,2016-08-23 00:00:00.000,2016.8.23 22:47,53,Complete,Phone,Occasional,Baby_Boomers,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Anthony Carr        ,Mr.,Agallas,Discover,10019,2488,2016-01-08 00:00:00.000,2016.1.8 3:13,53,Complete,Phone,Occasional,Baby_Boomers,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Anthony Carr        ,Mr.,Agallas,Discover,10019,2836,2016-06-23 00:00:00.000,2016.6.23 15:29,53,In-Progress,Phone,Occasional,Baby_Boomers,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Anthony Carr        ,Mr.,Agallas,Discover,10019,5456,2016-02-09 00:00:00.000,2016.2.9 18:50,53,Complete,Phone,Occasional,Baby_Boomers,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Melvin Schmitz      ,Mr.,Aigues,VISA,10027,139,2016-11-08 00:00:00.000,2016.11.8 21:33,32,Complete,Phone,Occasional,Gen_Y,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Melvin Schmitz      ,Mr.,Aigues,VISA,10027,831,2016-10-07 00:00:00.000,2016.10.7 21:33,32,Cancelled,Phone,Occasional,Gen_Y,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Melvin Schmitz      ,Mr.,Aigues,VISA,10027,6961,2016-06-26 00:00:00.000,2016.6.26 15:29,32,Abandoned,Phone,Occasional,Gen_Y,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Melvin Schmitz      ,Mr.,Aigues,VISA,10027,8622,2016-10-26 00:00:00.000,2016.10.26 20:07,32,In-Progress,Phone,Occasional,Gen_Y,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
John Hoffman        ,Mr.,Akron,American Express,10031,1369,2016-12-25 00:00:00.000,2016.12.25 9:32,46,Complete,Phone,Occasional,Gen_X,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Muriel Exley        ,Mrs.,Alba Di Canazei,Discover,10035,5328,2016-03-08 00:00:00.000,2016.3.8 20:32,46,Complete,Phone,Occasional,Gen_X,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
James Moyle         ,Mr.,Albany,Master Card,10039,421,2016-11-18 00:00:00.000,2016.11.18 21:33,72,Complete,Desktop,Frequent,Baby_Boomers,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,1,0
James Moyle         ,Mr.,Albany,Master Card,10039,5317,2016-11-11 00:00:00.000,2016.11.11 1:34,72,Complete,Desktop,Frequent,Baby_Boomers,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
James Moyle         ,Mr.,Albany,Master Card,10039,5855,2016-04-02 00:00:00.000,2016.4.2 16:33,72,Complete,Desktop,Frequent,Baby_Boomers,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0
Calvin Shupe        ,Mr.,Albosaggia,VISA,10047,529,2016-05-19 00:00:00.000,2016.5.19 20:47,49,Complete,Phone,Occasional,Gen_X,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alfonso Frazier     ,Mr.,Albuquerque,American Express,10051,1352,2016-09-10 00:00:00.000,2016.9.10 20:27,47,Complete,Phone,Occasional,Gen_X,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Alfonso Frazier     ,Mr.,Albuquerque,American Express,10051,3079,2016-08-17 00:00:00.000,2016.8.17 6:19,47,Complete,Phone,Occasional,Gen_X,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Alfonso Frazier     ,Mr.,Albuquerque,American Express,10051,5296,2016-11-03 00:00:00.000,2016.11.3 8:44,47,Complete,Phone,Occasional,Gen_X,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Alfonso Frazier     ,Mr.,Albuquerque,American Express,10051,5312,2016-05-12 00:00:00.000,2016.5.12 20:07,47,Complete,Phone,Occasional,Gen_X,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Alfonso Frazier     ,Mr.,Albuquerque,American Express,10051,6481,2016-04-02 00:00:00.000,2016.4.2 23:32,47,Cancelled,Phone,Occasional,Gen_X,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alfonso Frazier     ,Mr.,Albuquerque,American Express,10051,6487,2016-11-12 00:00:00.000,2016.11.12 17:43,47,Complete,Phone,Occasional,Gen_X,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alfonso Frazier     ,Mr.,Albuquerque,American Express,10051,7945,2016-04-10 00:00:00.000,2016.4.10 22:47,47,In-Progress,Phone,Occasional,Gen_X,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reda Fullilove      ,Mrs.,Alcalali,Diners Club,10055,925,2016-04-07 00:00:00.000,2016.4.7 8:47,24,In-Progress,Phone,FirstTime,Gen_Y,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Reda Fullilove      ,Mrs.,Alcalali,Diners Club,10055,1282,2016-04-07 00:00:00.000,2016.4.7 8:47,24,Complete,Phone,FirstTime,Gen_Y,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1
Reda Fullilove      ,Mrs.,Alcalali,Diners Club,10055,4950,2016-09-25 00:00:00.000,2016.9.25 16:43,24,Complete,Phone,FirstTime,Gen_Y,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Cecil Games         ,Mr.,Aldearrubia,VISA,10059,1985,2016-03-04 00:00:00.000,2016.3.4 2:25,age-32,In-Progress,Phone,FirstTime,Gen_Z,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cecil Games         ,Mr.,Aldearrubia,VISA,10059,3363,2016-11-25 00:00:00.000,2016.11.25 16:23,age-32,Complete,Phone,FirstTime,Gen_Z,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
Edward Turner       ,Mr.,Alexandria,Diners Club,10063,564,2016-05-01 00:00:00.000,2016.5.1 16:58,65,Cancelled,Desktop,Frequent,Baby_Boomers,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
Edward Turner       ,Mr.,Alexandria,Diners Club,10063,1506,2016-08-19 00:00:00.000,2016.8.19 1:34,65,Complete,Desktop,Frequent,Baby_Boomers,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1
Edward Turner       ,Mr.,Alexandria,Diners Club,10063,3586,2016-11-11 00:00:00.000,2016.11.11 1:34,65,Complete,Desktop,Frequent,Baby_Boomers,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
Amy Randle          ,Mrs.,Algaida,VISA,10067,1042,2016-09-19 00:00:00.000,2016.9.19 19:57,28,Cancelled,Phone,Frequent,Gen_Y,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0
Amy Randle          ,Mrs.,Algaida,VISA,10067,1239,2016-08-13 00:00:00.000,2016.8.13 11:29,28,Complete,Phone,Frequent,Gen_Y,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Rafael Middleton    ,Mr.,Allentown,JCB,10075,670,2016-01-20 00:00:00.000,2016.1.20 22:39,73,Complete,Desktop,Frequent,Baby_Boomers,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1
Rafael Middleton    ,Mr.,Allentown,JCB,10075,2231,2016-11-11 00:00:00.000,2016.11.11 21:47,73,Complete,Desktop,Frequent,Baby_Boomers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
Rafael Middleton    ,Mr.,Allentown,JCB,10075,9068,2016-02-06 00:00:00.000,2016.2.6 13:07,73,Complete,Desktop,Frequent,Baby_Boomers,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0
Earl Bruner         ,Mr.,Alma,American Express,10079,3545,2016-03-31 00:00:00.000,2016.3.31 18:57,19,Complete,Phone,Frequent,Gen_Z,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Linda Garcia        ,Mrs.,Alpo,JCB,10083,1728,2016-11-13 00:00:00.000,2016.11.13 21:59,40,Complete,Phone,Occasional,Gen_Y,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Quinn Perry         ,Master.,Amarillo,American Express,10091,3359,2016-11-13 00:00:00.000,2016.11.13 21:59,40,Complete,Phone,Occasional,Gen_Y,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Quinn Perry         ,Master.,Amarillo,American Express,10091,6717,2016-01-24 00:00:00.000,2016.1.24 23:13,40,Complete,Phone,Occasional,Gen_Y,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
Quinn Perry         ,Master.,Amarillo,American Express,10091,7265,2016-10-20 00:00:00.000,2016.10.20 20:07,40,In-Progress,Phone,Occasional,Gen_Y,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Kristin Mendoza     ,Mrs.,Anaheim,Diners Club,10095,2162,2016-01-20 00:00:00.000,2016.1.20 20:43,age-55,Cancelled,Phone,Frequent,Gen_Z,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Kristin Mendoza     ,Mrs.,Anaheim,Diners Club,10095,3305,2016-05-11 00:00:00.000,2016.5.11 21:27,age-55,Complete,Phone,Frequent,Gen_Z,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kristin Mendoza     ,Mrs.,Anaheim,Diners Club,10095,3967,2016-11-17 00:00:00.000,2016.11.17 17:43,age-55,Complete,Phone,Frequent,Gen_Z,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0
Kristin Mendoza     ,Mrs.,Anaheim,Diners Club,10095,4382,2016-06-26 00:00:00.000,2016.6.26 15:29,age-55,Cancelled,Phone,Frequent,Gen_Z,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Kristin Mendoza     ,Mrs.,Anaheim,Diners Club,10095,6009,2016-02-06 00:00:00.000,2016.2.6 13:07,age-55,Complete,Phone,Frequent,Gen_Z,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Michael Gordon      ,Mr.,Ancona,Diners Club,10099,5481,2016-05-11 00:00:00.000,2016.5.11 5:11,63,Complete,Phone,Occasional,Baby_Boomers,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Phyllis White       ,Mrs.,Angas Plains,American Express,10103,2118,2016-09-25 00:00:00.000,2016.9.25 16:43,51,Complete,Phone,Occasional,Gen_X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Phyllis White       ,Mrs.,Angas Plains,American Express,10103,3746,2016-05-11 00:00:00.000,2016.5.11 21:27,51,Complete,Phone,Occasional,Gen_X,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phyllis White       ,Mrs.,Angas Plains,American Express,10103,4425,2016-11-19 00:00:00.000,2016.11.19 4:34,51,Complete,Phone,Occasional,Gen_X,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Phyllis White       ,Mrs.,Angas Plains,American Express,10103,4942,2016-03-16 17:47:25.000,2016.3.16 17:47,51,In-Progress,Phone,Occasional,Gen_X,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Katherine Mullins   ,Mrs.,Angwin,Diners Club,10107,825,2016-04-29 00:00:00.000,2016.4.29 20:59,64,Complete,Phone,Occasional,Baby_Boomers,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Katherine Mullins   ,Mrs.,Angwin,Diners Club,10107,2024,2016-04-02 00:00:00.000,2016.4.2 23:32,64,Cancelled,Phone,Occasional,Baby_Boomers,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Katherine Mullins   ,Mrs.,Angwin,Diners Club,10107,2582,2016-08-13 00:00:00.000,2016.8.13 20:33,64,Complete,Phone,Occasional,Baby_Boomers,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Katherine Mullins   ,Mrs.,Angwin,Diners Club,10107,7943,2016-04-09 00:00:00.000,2016.4.9 19:27,64,Complete,Phone,Occasional,Baby_Boomers,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Lisa Guest          ,Mrs.,Annone Veneto,Diners Club,10111,5147,2016-01-23 00:00:00.000,2016.1.23 18:23,19,Cancelled,Phone,Frequent,Gen_Z,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Lisa Guest          ,Mrs.,Annone Veneto,Diners Club,10111,8444,2016-11-13 00:00:00.000,2016.11.13 21:59,19,Complete,Phone,Frequent,Gen_Z,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Scott Lawson        ,Mr.,Antioch,JCB,10115,479,2016-03-28 00:00:00.000,2016.3.28 2:22,NA,Complete,Desktop,Occasional,Gen_Z,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scott Lawson        ,Mr.,Antioch,JCB,10115,1059,2016-03-16 17:47:25.000,2016.3.16 17:47,NA,In-Progress,Phone,Occasional,Gen_Z,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Scott Lawson        ,Mr.,Antioch,JCB,10115,2971,2016-02-29 00:00:00.000,2016.2.29 22:39,NA,Abandoned,Phone,Occasional,Gen_Z,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scott Lawson        ,Mr.,Antioch,JCB,10115,3865,2016-08-01 00:00:00.000,2016.8.1 15:29,NA,Complete,Phone,Occasional,Gen_Z,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
Scott Lawson        ,Mr.,Antioch,JCB,10115,4448,2016-10-20 00:00:00.000,2016.10.20 20:07,NA,Complete,Phone,Occasional,Gen_Z,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1
Scott Lawson        ,Mr.,Antioch,JCB,10115,6683,2016-03-10 00:00:00.000,2016.3.10 6:22,NA,In-Progress,Desktop,Occasional,Gen_Z,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
Robert Bilbo        ,Mr.,Appiano Gentile,JCB,10119,155,2016-01-06 00:00:00.000,2016.1.6 18:23,49,Complete,Phone,Occasional,Gen_X,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Robert Bilbo        ,Mr.,Appiano Gentile,JCB,10119,1969,2016-03-31 00:00:00.000,2016.3.31 18:57,49,Complete,Phone,Occasional,Gen_X,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Ahmed Richard       ,Mr.,Appleton,JCB,10123,4564,2016-12-07 00:00:00.000,2016.12.7 8:43,20,Complete,Phone,FirstTime,Gen_Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Ahmed Richard       ,Mr.,Appleton,JCB,10123,6596,2016-12-25 00:00:00.000,2016.12.25 9:32,20,Cancelled,Phone,FirstTime,Gen_Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Ahmed Richard       ,Mr.,Appleton,JCB,10123,7325,2016-04-02 00:00:00.000,2016.4.2 16:33,20,Complete,Phone,FirstTime,Gen_Z,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1
Ahmed Richard       ,Mr.,Appleton,JCB,10123,7496,2016-12-25 00:00:00.000,2016.12.25 9:32,20,Complete,Phone,FirstTime,Gen_Z,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Ahmed Richard       ,Mr.,Appleton,JCB,10123,7989,2016-04-13 00:00:00.000,2016.4.13 23:47,20,Complete,Desktop,FirstTime,Gen_Z,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Ray Hornsby         ,Mr.,Archez,VISA,10127,3665,2016-04-06 00:00:00.000,2016.4.6 13:07,49,Complete,Phone,Occasional,Gen_X,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jason Glass         ,Miss.,Argenton,Diners Club,10131,1866,2016-08-31 00:00:00.000,2016.8.31 19:17,78,Complete,Desktop,Frequent,Baby_Boomers,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1,0,0
Jason Glass         ,Miss.,Argenton,Diners Club,10131,5009,2016-09-23 00:00:00.000,2016.9.23 16:43,78,Abandoned,Desktop,Frequent,Baby_Boomers,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Jason Glass         ,Miss.,Argenton,Diners Club,10131,7982,2016-03-16 17:47:25.000,2016.3.16 17:47,78,Complete,Desktop,Frequent,Baby_Boomers,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,1
Natalie White       ,Mrs.,Arlington,VISA,10135,5052,2016-09-12 00:00:00.000,2016.9.12 6:11,NA,Complete,Phone,Occasional,Gen_Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,0,0,1,0,0,0
Natalie White       ,Mrs.,Arlington,VISA,10135,7836,2016-06-23 00:00:00.000,2016.6.23 15:29,NA,Complete,Desktop,Occasional,Gen_Z,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1
Donna Klock         ,Mrs.,Arlington,VISA,10139,4045,2016-11-08 00:00:00.000,2016.11.8 21:33,53,Complete,Phone,Occasional,Baby_Boomers,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Donna Klock         ,Mrs.,Arlington,VISA,10139,4082,2016-12-25 00:00:00.000,2016.12.25 9:32,53,Complete,Phone,Occasional,Baby_Boomers,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Donna Klock         ,Mrs.,Arlington,VISA,10139,6973,2016-03-16 17:47:25.000,2016.3.16 17:47,53,Complete,Phone,Occasional,Baby_Boomers,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Donna Klock         ,Mrs.,Arlington,VISA,10139,8786,2016-08-10 00:00:00.000,2016.8.10 22:07,53,In-Progress,Phone,Occasional,Baby_Boomers,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Donald Velazquez    ,Mr.,Aschersleben,JCB,10147,1102,2016-04-13 00:00:00.000,2016.4.13 23:47,age-19,Complete,Phone,FirstTime,Gen_Z,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Donald Velazquez    ,Mr.,Aschersleben,JCB,10147,5244,2016-10-22 00:00:00.000,2016.10.22 17:33,age-19,Cancelled,Desktop,FirstTime,Gen_Z,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Harry Brumback      ,Mr.,Asheboro,Discover,10151,5206,2016-06-23 00:00:00.000,2016.6.23 15:29,75,Complete,Desktop,Frequent,Baby_Boomers,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Harry Brumback      ,Mr.,Asheboro,Discover,10151,5252,2016-08-13 00:00:00.000,2016.8.13 11:29,75,Cancelled,Desktop,Frequent,Baby_Boomers,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0
Harry Brumback      ,Mr.,Asheboro,Discover,10151,8270,2016-11-25 00:00:00.000,2016.11.25 16:23,75,Complete,Desktop,Frequent,Baby_Boomers,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Harold Magee        ,Mr.,Ashland,American Express,10155,1267,2016-06-09 00:00:00.000,2016.6.9 18:50,40,Complete,Phone,Occasional,Gen_Y,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
